,blurb,id,image.full,image.group,image.h,image.sprite,image.w,image.x,image.y,info.attack,info.defense,info.difficulty,info.magic,key,name,partype,stats.armor,stats.armorperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackrange,stats.attackspeed,stats.attackspeedperlevel,stats.crit,stats.critperlevel,stats.hp,stats.hpperlevel,stats.hpregen,stats.hpregenperlevel,stats.movespeed,stats.mp,stats.mpperlevel,stats.mpregen,stats.mpregenperlevel,stats.spellblock,stats.spellblockperlevel,tags,title,version
0,"Outside the gleaming city of Demacia, the stone colossus Galio keeps vigilant watch. Built as a bulwark against enemy mages, he often stands motionless for decades until the presence of powerful magic stirs him to life. Once activated, Galio makes the...",Galio,Galio.png,champion,48,champion1.png,48,48,0,1,10,5,6,3,Galio,Mana,24.0,3.5,59.0,3.5,150,0.625,1.5,0,0,562.0,112,8.0,0.8,335,500.0,40.0,9.5,0.7,32.0,1.25,"['Tank', 'Mage']",the Colossus,10.14.1
0,"As unpredictable as he is brutal, the dethroned reaver king Gangplank is feared far and wide. Once, he ruled the port city of Bilgewater, and while his reign is over, there are those who believe this has only made him more dangerous. Gangplank would see...",Gangplank,Gangplank.png,champion,48,champion1.png,48,96,0,7,6,9,4,41,Gangplank,Mana,35.0,3.0,64.0,3.0,125,0.658,3.2,0,0,540.0,82,6.0,0.6,345,282.0,40.0,7.5,0.7,32.1,1.25,['Fighter'],the Saltwater Scourge,10.14.1
0,"A proud and noble warrior, Garen fights as one of the Dauntless Vanguard. He is popular among his fellows, and respected well enough by his enemies—not least as a scion of the prestigious Crownguard family, entrusted with defending Demacia and its...",Garen,Garen.png,champion,48,champion1.png,48,144,0,7,7,5,1,86,Garen,None,36.0,3.0,66.0,4.5,175,0.625,3.65,0,0,620.0,84,8.0,0.5,340,0.0,0.0,0.0,0.0,32.1,0.75,"['Fighter', 'Tank']",The Might of Demacia,10.14.1
0,"Gnar is a primeval yordle whose playful antics can erupt into a toddler's outrage in an instant, transforming him into a massive beast bent on destruction. Frozen in True Ice for millennia, the curious creature broke free and now hops about a changed...",Gnar,Gnar.png,champion,48,champion1.png,48,192,0,6,5,8,5,150,Gnar,Rage,32.0,2.5,59.0,3.0,175,0.625,6.0,0,0,510.0,65,4.5,1.75,335,100.0,0.0,0.0,0.0,30.0,0.5,"['Fighter', 'Tank']",the Missing Link,10.14.1
0,"Equal parts jolly and imposing, Gragas is a massive, rowdy brewmaster on his own quest for the perfect pint of ale. Hailing from parts unknown, he now searches for rare ingredients among the unblemished wastes of the Freljord, trying each recipe as he...",Gragas,Gragas.png,champion,48,champion1.png,48,240,0,4,7,5,6,79,Gragas,Mana,35.0,3.6,64.0,3.5,125,0.675,2.05,0,0,600.0,95,5.5,0.5,330,400.0,47.0,6.0,0.8,32.1,1.25,"['Fighter', 'Mage']",the Rabble Rouser,10.14.1
0,"Malcolm Graves is a renowned mercenary, gambler, and thief—a wanted man in every city and empire he has visited. Even though he has an explosive temper, he possesses a strict sense of criminal honor, often enforced at the business end of his...",Graves,Graves.png,champion,48,champion1.png,48,288,0,8,5,3,3,104,Graves,Mana,33.0,3.4,68.0,3.0,425,0.475,2.6,0,0,555.0,92,8.0,0.7,340,325.0,40.0,8.0,0.7,32.0,1.25,['Marksman'],the Outlaw,10.14.1
0,"Hecarim is a spectral fusion of man and beast, cursed to ride down the souls of the living for all eternity. When the Blessed Isles fell into shadow, this proud knight was obliterated by the destructive energies of the Ruination, along with all his...",Hecarim,Hecarim.png,champion,48,champion1.png,48,336,0,8,6,6,4,120,Hecarim,Mana,36.0,4.0,66.0,3.2,175,0.67,2.5,0,0,580.0,90,7.0,0.75,345,277.2,40.0,6.5,0.6,32.1,1.25,"['Fighter', 'Tank']",the Shadow of War,10.14.1
0,"A brilliant yet eccentric yordle scientist, Professor Cecil B. Heimerdinger is one of the most innovative and esteemed inventors Piltover has ever known. Relentless in his work to the point of neurotic obsession, he thrives on answering the universe's...",Heimerdinger,Heimerdinger.png,champion,48,champion1.png,48,384,0,2,6,8,8,74,Heimerdinger,Mana,19.04,3.0,55.536,2.7,550,0.625,1.36,0,0,488.0,87,7.0,0.55,340,385.0,20.0,8.0,0.8,30.0,0.5,"['Mage', 'Support']",the Revered Inventor,10.14.1
0,"Illaoi's powerful physique is dwarfed only by her indomitable faith. As the prophet of the Great Kraken, she uses a huge, golden idol to rip her foes' spirits from their bodies and shatter their perception of reality. All who challenge the “Truth Bearer...",Illaoi,Illaoi.png,champion,48,champion1.png,48,432,0,8,6,4,3,420,Illaoi,Mana,35.0,3.8,68.0,5.0,125,0.571,2.5,0,0,585.6,95,9.5,0.8,340,300.0,40.0,7.5,0.75,32.1,1.25,"['Fighter', 'Tank']",the Kraken Priestess,10.14.1
0,"The Noxian occupation of Ionia produced many heroes, none more unlikely than young Irelia of Navori. Trained in the ancient dances of her province, she adapted her art for war, using the graceful and carefully practised movements to levitate a host of...",Irelia,Irelia.png,champion,48,champion1.png,48,0,48,7,4,5,5,39,Irelia,Mana,36.0,3.0,63.0,4.0,200,0.656,2.5,0,0,580.0,95,8.5,0.85,335,350.0,30.0,8.0,0.8,32.0,1.25,"['Fighter', 'Assassin']",the Blade Dancer,10.14.1
0,"Ivern Bramblefoot, known to many as the Green Father, is a peculiar half man, half tree who roams Runeterra's forests, cultivating life everywhere he goes. He knows the secrets of the natural world, and holds deep friendships with all things that grow...",Ivern,Ivern.png,champion,48,champion1.png,48,48,48,3,5,7,7,427,Ivern,Mana,27.0,3.5,50.0,3.0,475,0.644,3.4,0,0,585.0,95,7.0,0.85,330,450.0,60.0,6.0,0.75,32.1,1.25,"['Support', 'Mage']",the Green Father,10.14.1
0,"Armed with the power of Runeterra's gales, Janna is a mysterious, elemental wind spirit who protects the dispossessed of Zaun. Some believe she was brought into existence by the pleas of Runeterra's sailors who prayed for fair winds as they navigated...",Janna,Janna.png,champion,48,champion1.png,48,96,48,3,5,7,7,40,Janna,Mana,28.0,3.8,46.0,1.5,550,0.625,2.95,0,0,500.0,70,5.5,0.55,315,350.0,64.0,11.5,0.4,30.0,0.5,"['Support', 'Mage']",the Storm's Fury,10.14.1
0,"Prince Jarvan, scion of the Lightshield dynasty, is heir apparent to the throne of Demacia. Raised to be a paragon of his nation's greatest virtues, he is forced to balance the heavy expectations placed upon him with his own desire to fight on the front...",JarvanIV,JarvanIV.png,champion,48,champion1.png,48,144,48,6,8,5,3,59,Jarvan IV,Mana,34.0,3.6,64.0,3.4,175,0.658,2.5,0,0,570.0,90,8.0,0.7,340,300.0,40.0,6.5,0.45,32.1,1.25,"['Tank', 'Fighter']",the Exemplar of Demacia,10.14.1
0,"Unmatched in both his skill with unique armaments and his biting sarcasm, Jax is the last known weapons master of Icathia. After his homeland was laid low by its own hubris in unleashing the Void, Jax and his kind vowed to protect what little remained...",Jax,Jax.png,champion,48,champion1.png,48,192,48,7,5,5,7,24,Jax,Mana,36.0,3.0,68.0,3.375,125,0.638,3.4,0,0,592.8,85,8.5,0.55,350,338.8,32.0,7.576,0.7,32.1,1.25,"['Fighter', 'Assassin']",Grandmaster at Arms,10.14.1
0,"Jayce is a brilliant inventor who has pledged his life to the defense of Piltover and its unyielding pursuit of progress. With his transforming hextech hammer in hand, Jayce uses his strength, courage, and considerable intelligence to protect his...",Jayce,Jayce.png,champion,48,champion1.png,48,240,48,8,4,7,3,126,Jayce,Mana,27.0,3.5,54.0,4.25,125,0.658,3.0,0,0,560.0,90,6.0,0.6,335,375.0,45.0,6.0,0.8,30.0,0.5,"['Fighter', 'Marksman']",the Defender of Tomorrow,10.14.1
0,"Jhin is a meticulous criminal psychopath who believes murder is art. Once an Ionian prisoner, but freed by shadowy elements within Ionia's ruling council, the serial killer now works as their cabal's assassin. Using his gun as his paintbrush, Jhin...",Jhin,Jhin.png,champion,48,champion1.png,48,288,48,10,2,6,6,202,Jhin,Mana,24.0,3.5,59.0,4.7,550,0.625,0.0,0,0,585.0,93,3.75,0.55,330,300.0,50.0,6.0,0.8,30.0,0.5,"['Marksman', 'Mage']",the Virtuoso,10.14.1
0,"A manic and impulsive criminal from Zaun, Jinx lives to wreak havoc without care for the consequences. With an arsenal of deadly weapons, she unleashes the loudest blasts and brightest explosions to leave a trail of mayhem and panic in her wake. Jinx...",Jinx,Jinx.png,champion,48,champion1.png,48,336,48,9,2,6,4,222,Jinx,Mana,28.0,3.5,57.0,3.4,525,0.625,1.0,0,0,610.0,86,3.75,0.5,325,245.0,45.0,6.7,1.0,30.0,0.5,['Marksman'],the Loose Cannon,10.14.1
0,"Claimed by the Void when she was only a child, Kai'Sa managed to survive through sheer tenacity and strength of will. Her experiences have made her a deadly hunter and, to some, the harbinger of a future they would rather not live to see. Having entered...",Kaisa,Kaisa.png,champion,48,champion1.png,48,384,48,8,5,6,3,145,Kai'Sa,Mana,28.0,3.0,59.0,1.7,525,0.644,1.8,0,0,600.0,88,3.5,0.55,335,344.88,38.0,8.2,0.45,30.0,0.5,['Marksman'],Daughter of the Void,10.14.1
0,"A specter of wrath and retribution, Kalista is the undying spirit of vengeance, an armored nightmare summoned from the Shadow Isles to hunt deceivers and traitors. The betrayed may cry out in blood to be avenged, but Kalista only answers those willing...",Kalista,Kalista.png,champion,48,champion1.png,48,432,48,8,2,7,4,429,Kalista,Mana,21.0,4.0,69.0,3.5,525,0.694,4.0,0,0,534.0,100,3.75,0.55,325,250.0,45.0,6.3,0.4,30.0,0.5,['Marksman'],the Spear of Vengeance,10.14.1
0,"No mortal exemplifies the spiritual traditions of Ionia more than Karma. She is the living embodiment of an ancient soul reincarnated countless times, carrying all her accumulated memories into each new life, and blessed with power that few can...",Karma,Karma.png,champion,48,champion1.png,48,0,96,1,7,5,8,43,Karma,Mana,26.0,3.8,53.544,3.3,525,0.625,2.3,0,0,534.0,95,5.5,0.55,335,374.0,50.0,11.5,0.5,30.0,0.5,"['Mage', 'Support']",the Enlightened One,10.14.1
0,"The harbinger of oblivion, Karthus is an undying spirit whose haunting songs are a prelude to the horror of his nightmarish appearance. The living fear the eternity of undeath, but Karthus sees only beauty and purity in its embrace, a perfect union of...",Karthus,Karthus.png,champion,48,champion1.png,48,48,96,2,2,7,10,30,Karthus,Mana,20.88,3.5,45.66,3.25,450,0.625,2.11,0,0,550.0,87,6.5,0.55,335,467.0,30.5,8.0,0.8,30.0,0.5,['Mage'],the Deathsinger,10.14.1
0,"Cutting a burning swath through the darkest places of the world, Kassadin knows his days are numbered. A widely traveled Shuriman guide and adventurer, he had chosen to raise a family among the peaceful southern tribes—until the day his village was...",Kassadin,Kassadin.png,champion,48,champion1.png,48,96,96,3,5,8,8,38,Kassadin,Mana,19.0,2.8,58.852,3.9,150,0.64,3.7,0,0,576.0,90,6.0,0.5,335,397.6,67.0,6.0,0.8,30.0,0.5,"['Assassin', 'Mage']",the Void Walker,10.14.1
0,"Decisive in judgment and lethal in combat, Katarina is a Noxian assassin of the highest caliber. Eldest daughter to the legendary General Du Couteau, she made her talents known with swift kills against unsuspecting enemies. Her fiery ambition has driven...",Katarina,Katarina.png,champion,48,champion1.png,48,144,96,4,3,8,9,55,Katarina,None,27.88,3.5,58.0,3.2,125,0.658,2.74,0,0,602.0,94,7.5,0.7,340,0.0,0.0,0.0,0.0,32.1,1.25,"['Assassin', 'Mage']",the Sinister Blade,10.14.1
0,"Born to a Targonian Aspect at the height of the Rune Wars, Kayle honored her mother's legacy by fighting for justice on wings of divine flame. She and her twin sister Morgana were the protectors of Demacia for many years—until Kayle became disillusioned...",Kayle,Kayle.png,champion,48,champion1.png,48,192,96,6,6,7,7,10,Kayle,Mana,26.0,3.0,50.0,2.5,175,0.625,1.5,0,0,600.0,85,5.0,0.5,335,330.0,50.0,8.0,0.8,34.0,0.5,"['Fighter', 'Support']",the Righteous,10.14.1
0,"A peerless practitioner of lethal shadow magic, Shieda Kayn battles to achieve his true destiny—to one day lead the Order of Shadow into a new era of Ionian supremacy. He wields the sentient darkin weapon Rhaast, undeterred by its creeping corruption of...",Kayn,Kayn.png,champion,48,champion1.png,48,240,96,10,6,8,1,141,Kayn,Mana,38.0,3.3,68.0,3.3,175,0.669,2.7,0,0,585.0,85,8.0,0.75,340,410.0,50.0,11.5,0.95,32.1,1.25,"['Fighter', 'Assassin']",the Shadow Reaper,10.14.1
